מחיר למטר,נרשמים בהגרלה,דירות בהגרלה,ישוב,מספר הגרלה
 7137,929,42,נצרת,2053
 5250,999,35,נצרת,2054
 7605,936,18,נצרת,2055
 7605,902,14,נצרת,2056
 8150,885,13,נצרת,2057
 8150,896,13,נצרת,2058
 20280,15089,111,נתניה,2028
 19672,15365,97,נתניה,2029
 20487,15260,87,נתניה,2030
 20494,15078,87,נתניה,2031
 20709,14947,76,נתניה,2032
 19220,15236,74,נתניה,2033
 20800,15242,74,נתניה,2034
 20191,14934,67,נתניה,2035
 18837,15390,64,נתניה,2036
 20191,15024,38,נתניה,2037
 20709,14948,38,נתניה,2038
 20709,14935,38,נתניה,2039
 20800,15249,37,נתניה,2040
 6759,161,25,עראבה,2089
 5616,93,23,עראבה,2090
 6759,93,22,עראבה,2091
 6318,771,23,ערד,2078
 6318,753,20,ערד,2079
 6318,741,16,ערד,2080
 6318,731,11,ערד,2081
 6318,734,11,ערד,2082
 6318,737,10,ערד,2083
 6318,732,5,ערד,2084
 7470,1596,32,פורייה - כפר עבודה,2110
 7509,1625,28,פורייה - כפר עבודה,2111
 7509,1597,20,פורייה - כפר עבודה,2112
 7470,1535,16,פורייה - כפר עבודה,2113
 10511,24324,112,ראש העין,2061
 10319,24778,107,ראש העין,2062
 10252,24767,62,ראש העין,2063
 10549,24803,56,ראש העין,2064
 10434,24568,54,ראש העין,2065
 9947,25255,48,ראש העין,2066
 16380,29028,110,רמת גן,2042
 16380,28869,107,רמת גן,2043
 16380,28315,66,רמת גן,2044
 16380,28499,66,רמת גן,2045
 7243,5969,505,שדרות,2087
 6667,5575,36,שדרות,2088
 7750,4699,37,אילת,2059
 7750,4483,18,אילת,2060
 11571,8614,110,אלעד,2067
 11571,8376,83,אלעד,2068
 12504,8074,64,אלעד,2069
 14859,13915,85,אשדוד,2026
 14859,14003,81,אשדוד,2027
 9009,16087,129,אשקלון,2046
 9009,15920,74,אשקלון,2047
 7943,16155,69,אשקלון,2048
 9009,15369,45,אשקלון,2049
 9009,15346,45,אשקלון,2050
 9009,15234,36,אשקלון,2051
 12019,3118,65,באר שבע,2041
 6564,1365,70,בית שאן,2092
 6486,1277,49,בית שאן,2093
 6552,1246,21,בית שאן,2094
 11667,12414,492,בית שמש,2052
 8892,1381,33,גבע בנימין,2099
 8892,1268,33,גבע בנימין,2100
 8892,1247,30,גבע בנימין,2101
 8892,1235,20,גבע בנימין,2102
 8892,1243,15,גבע בנימין,2103
 5148,152,21,דייר חנא,2097
 6066,133,18,דייר חנא,2098
 5031,1642,64,דימונה,2070
 5031,1660,64,דימונה,2071
 5031,1608,43,דימונה,2072
 5031,1602,36,דימונה,2073
 6535,1527,36,דימונה,2074
 6499,1509,32,דימונה,2075
 5846,1526,18,דימונה,2076
 5844,1521,16,דימונה,2077
 11700,9741,114,חיפה,2022
 11583,9897,89,חיפה,2023
 11700,9710,54,חיפה,2024
 11700,9498,38,חיפה,2025
 4419,218,18,טורעאן,2095
 4419,119,18,טורעאן,2096
 13572,13533,105,ירושלים,2019
 12636,13614,65,ירושלים,2020
 11641,13870,43,ירושלים,2021
 7002,252,35,כפר ברא,2105
 6807,141,32,כפר ברא,2106
 6688,132,22,כפר ברא,2107
 6807,128,20,כפר ברא,2108
 9370,1885,109,מגדל העמק,2085
 9315,1853,41,מגדל העמק,2086
 5616,392,21,מעלה אפרים,2109
 5733,480,9,מצפה רמון,2104
